SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.032,-0.035,+16.845,+15.241,6.356885e+01,9.919638e-01,4.835985e+01,3.343076e+01
-10,+12.953,-0.271,+11.683,+9.601,1.973919e+01,9.394983e-01,1.473261e+01,9.122454e+00
-5,+8.048,-1.005,+6.648,+3.394,6.379596e+00,7.933988e-01,4.621308e+00,2.184509e+00
0,+2.983,-2.701,+1.444,-3.456,1.987517e+00,5.368998e-01,1.394333e+00,4.512466e-01
5,-1.970,-5.124,-3.516,-10.674,6.353962e-01,3.073594e-01,4.450756e-01,8.561799e-02
10,-6.930,-8.367,-8.055,-14.759,2.027771e-01,1.456313e-01,1.565090e-01,3.342388e-02
15,-11.979,-12.519,-11.755,-18.020,6.340005e-02,5.599482e-02,6.676205e-02,1.577762e-02
20,-17.080,-17.261,-14.131,-19.830,1.958910e-02,1.878872e-02,3.862943e-02,1.039827e-02
