SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.400,-1.343,+3.210,+0.857,2.754220e+00,7.339448e-01,2.094324e+00,1.218140e+00
-10,-0.596,-3.633,-1.825,-4.975,8.717345e-01,4.331699e-01,6.568407e-01,3.180351e-01
-5,-5.596,-8.107,-6.883,-11.637,2.756610e-01,1.546486e-01,2.049518e-01,6.860314e-02
0,-10.600,-13.859,-11.970,-18.802,8.709653e-02,4.112131e-02,6.353735e-02,1.317592e-02
5,-15.604,-18.532,-16.982,-24.232,2.751757e-02,1.402283e-02,2.003572e-02,3.773555e-03
10,-20.602,-22.194,-21.581,-24.792,8.705425e-03,6.034524e-03,6.948959e-03,3.317108e-03
15,-25.599,-26.229,-25.059,-24.777,2.755031e-03,2.382744e-03,3.119632e-03,3.329043e-03
20,-30.603,-30.820,-27.021,-25.239,8.702986e-04,8.278626e-04,1.985562e-03,2.993112e-03
