SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+17.931,-0.049,+16.743,+15.137,6.210240e+01,9.887283e-01,4.724222e+01,3.263611e+01
-10,+12.962,-0.266,+11.692,+9.610,1.978019e+01,9.406186e-01,1.476401e+01,9.141643e+00
-5,+8.024,-1.024,+6.624,+3.373,6.344081e+00,7.899308e-01,4.596157e+00,2.174136e+00
0,+3.011,-2.680,+1.474,-3.421,2.000496e+00,5.394942e-01,1.404071e+00,4.548629e-01
5,-1.973,-5.129,-3.511,-10.628,6.349241e-01,3.069567e-01,4.455080e-01,8.653752e-02
10,-6.987,-8.421,-8.090,-14.676,2.001157e-01,1.438302e-01,1.552391e-01,3.407032e-02
15,-11.989,-12.528,-11.742,-17.778,6.325881e-02,5.587223e-02,6.696078e-02,1.668006e-02
20,-16.980,-17.163,-14.027,-19.499,2.004269e-02,1.921750e-02,3.956218e-02,1.122261e-02
