SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.666,-1.340,+3.475,+1.119,2.927873e+00,7.345025e-01,2.225974e+00,1.293792e+00
-10,-0.334,-3.621,-1.565,-4.716,9.259447e-01,4.344054e-01,6.974139e-01,3.375945e-01
-5,-5.337,-8.057,-6.623,-11.372,2.925910e-01,1.564162e-01,2.176004e-01,7.291036e-02
0,-10.336,-13.715,-11.702,-18.444,9.256182e-02,4.250856e-02,6.757812e-02,1.431033e-02
5,-15.340,-18.285,-16.702,-23.475,2.924251e-02,1.484239e-02,2.137170e-02,4.492618e-03
10,-20.337,-21.920,-21.262,-23.939,9.253494e-03,6.426749e-03,7.477454e-03,4.037785e-03
15,-25.336,-25.962,-24.746,-23.841,2.926816e-03,2.534235e-03,3.352809e-03,4.129651e-03
20,-30.336,-30.551,-26.769,-24.326,9.254457e-04,8.808713e-04,2.104381e-03,3.693370e-03
