SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.036,-0.035,+16.849,+15.244,6.362349e+01,9.920729e-01,4.840345e+01,3.344761e+01
-10,+13.055,-0.233,+11.784,+9.703,2.020676e+01,9.477816e-01,1.508154e+01,9.339953e+00
-5,+8.023,-1.027,+6.623,+3.369,6.343784e+00,7.893641e-01,4.595459e+00,2.172052e+00
0,+3.061,-2.651,+1.521,-3.376,2.023400e+00,5.430687e-01,1.419467e+00,4.595860e-01
5,-1.943,-5.108,-3.487,-10.665,6.392238e-01,3.084298e-01,4.480138e-01,8.579299e-02
10,-7.009,-8.441,-8.114,-14.850,1.990991e-01,1.432005e-01,1.543923e-01,3.273463e-02
15,-11.942,-12.482,-11.711,-18.017,6.395110e-02,5.646336e-02,6.744328e-02,1.578744e-02
20,-16.948,-17.130,-13.999,-19.776,2.019497e-02,1.936435e-02,3.982126e-02,1.052877e-02
