SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.101,-1.347,+2.912,+0.559,2.570770e+00,7.333036e-01,1.955255e+00,1.137380e+00
-10,-0.903,-3.650,-2.131,-5.286,8.123196e-01,4.315587e-01,6.122510e-01,2.960974e-01
-5,-5.902,-8.155,-7.190,-11.963,2.569033e-01,1.529170e-01,1.909657e-01,6.363384e-02
0,-10.906,-14.020,-12.282,-19.266,8.117402e-02,3.962853e-02,5.912255e-02,1.184254e-02
5,-15.901,-18.815,-17.325,-25.666,2.569546e-02,1.313618e-02,1.851230e-02,2.712922e-03
10,-20.900,-22.504,-22.072,-26.248,8.128586e-03,5.618278e-03,6.206003e-03,2.372670e-03
15,-25.907,-26.546,-25.845,-26.208,2.566505e-03,2.215316e-03,2.602879e-03,2.394329e-03
20,-30.905,-31.124,-27.997,-26.583,8.119674e-04,7.719229e-04,1.585951e-03,2.196427e-03
