SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.021,-0.038,+16.833,+15.229,6.340010e+01,9.913368e-01,4.823235e+01,3.333415e+01
-10,+12.924,-0.282,+11.653,+9.570,1.960474e+01,9.371438e-01,1.463228e+01,9.056624e+00
-5,+8.044,-1.018,+6.643,+3.391,6.373713e+00,7.909870e-01,4.616601e+00,2.183188e+00
0,+3.043,-2.658,+1.503,-3.395,2.015224e+00,5.422710e-01,1.413535e+00,4.576429e-01
5,-1.969,-5.121,-3.515,-10.676,6.354578e-01,3.075162e-01,4.451485e-01,8.558494e-02
10,-6.967,-8.400,-8.086,-14.789,2.010307e-01,1.445340e-01,1.553836e-01,3.320015e-02
15,-11.941,-12.481,-11.716,-17.983,6.396276e-02,5.647906e-02,6.736412e-02,1.591214e-02
20,-17.051,-17.232,-14.110,-19.787,1.971833e-02,1.891374e-02,3.881397e-02,1.050194e-02
