SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+7.242,-1.279,+6.054,+4.105,5.299001e+00,7.448864e-01,4.030418e+00,2.573413e+00
-10,+2.017,-3.443,+0.769,-1.826,1.591286e+00,4.526115e-01,1.193782e+00,6.567479e-01
-5,-2.901,-7.450,-4.239,-8.192,5.127193e-01,1.798793e-01,3.768127e-01,1.516443e-01
0,-7.979,-12.229,-9.414,-15.181,1.592449e-01,5.985934e-02,1.144355e-01,3.032987e-02
5,-13.042,-16.090,-14.427,-21.526,4.963698e-02,2.460239e-02,3.607973e-02,7.037748e-03
10,-17.753,-19.267,-18.678,-23.421,1.677485e-02,1.183929e-02,1.355869e-02,4.549111e-03
15,-22.869,-23.452,-22.235,-24.052,5.165536e-03,4.516732e-03,5.977779e-03,3.934086e-03
20,-28.053,-28.254,-24.458,-24.593,1.565537e-03,1.494904e-03,3.582354e-03,3.473236e-03
