SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+3.901,-1.350,+2.713,+0.370,2.455191e+00,7.328827e-01,1.867568e+00,1.088908e+00
-10,-1.101,-3.659,-2.325,-5.459,7.761553e-01,4.306028e-01,5.854361e-01,2.844829e-01
-5,-6.093,-8.187,-7.371,-12.106,2.458821e-01,1.518040e-01,1.831926e-01,6.157283e-02
0,-11.100,-14.123,-12.429,-19.232,7.762894e-02,3.869539e-02,5.716599e-02,1.193334e-02
5,-16.101,-18.999,-17.299,-24.648,2.454184e-02,1.259304e-02,1.862550e-02,3.429424e-03
10,-21.098,-22.708,-21.460,-25.288,7.766668e-03,5.360604e-03,7.144160e-03,2.959501e-03
15,-26.096,-26.738,-24.386,-25.523,2.457124e-03,2.119492e-03,3.642886e-03,2.803323e-03
20,-31.099,-31.320,-26.120,-26.130,7.764850e-04,7.379678e-04,2.443577e-03,2.437753e-03
