SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.031,-0.034,+16.843,+15.240,6.355116e+01,9.920945e-01,4.834482e+01,3.341737e+01
-10,+13.105,-0.222,+11.835,+9.752,2.044157e+01,9.501024e-01,1.525642e+01,9.444508e+00
-5,+7.984,-1.047,+6.585,+3.330,6.286515e+00,7.858648e-01,4.554786e+00,2.152918e+00
0,+3.027,-2.669,+1.488,-3.411,2.007620e+00,5.409225e-01,1.408664e+00,4.559433e-01
5,-1.942,-5.103,-3.485,-10.658,6.394091e-01,3.088045e-01,4.482716e-01,8.593462e-02
10,-6.954,-8.388,-8.062,-14.787,2.016409e-01,1.449457e-01,1.562340e-01,3.321075e-02
15,-12.057,-12.594,-11.809,-18.073,6.227758e-02,5.503440e-02,6.593775e-02,1.558455e-02
20,-17.029,-17.210,-14.072,-19.792,1.982146e-02,1.900926e-02,3.915655e-02,1.049081e-02
