SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.397,-1.342,+3.207,+0.868,2.752042e+00,7.340990e-01,2.092677e+00,1.221176e+00
-10,-0.599,-3.636,-1.823,-4.945,8.710942e-01,4.329360e-01,6.571578e-01,3.202514e-01
-5,-5.599,-8.100,-6.855,-11.552,2.755124e-01,1.548921e-01,2.062798e-01,6.994525e-02
0,-10.603,-13.858,-11.843,-18.289,8.704172e-02,4.113259e-02,6.541252e-02,1.482800e-02
5,-15.600,-18.536,-16.535,-22.195,2.754536e-02,1.400897e-02,2.220886e-02,6.032907e-03
10,-20.600,-22.191,-20.616,-22.780,8.709795e-03,6.037714e-03,8.677255e-03,5.271930e-03
15,-25.599,-26.232,-23.726,-23.207,2.754742e-03,2.381488e-03,4.240190e-03,4.778842e-03
20,-30.599,-30.816,-25.507,-23.892,8.711688e-04,8.287274e-04,2.813611e-03,4.081748e-03
